averageVehicleSpeed;averageDistanceHeadway;percentageLongVehicles;vehicleFlow;occupancy
92;161;20;300;2
92;166;0;600;3
90;47;0;1500;19
115;69;0;360;1
99;67;25;720;6
111;146;0;120;0
105;176;25;480;4
100;223;0;180;1
91;105;0;780;6
41;118;20;300;5
43;255;0;120;1
91;198;84;360;7
134;255;0;120;1
102;160;16;780;5
101;255;0;180;1
102;255;0;480;5
112;165;10;660;5
112;255;0;300;1
94;132;0;660;3
113;221;33;180;0
98;153;0;480;3
86;157;25;480;4
162;255;0;60;0
79;255;0;180;1
115;199;0;240;2
141;91;0;60;0
63;238;0;240;2
92;55;0;300;2
78;217;43;420;5
63;151;0;540;4
73;159;100;120;2
98;70;30;1020;11
116;91;0;900;5
92;255;0;60;0
82;187;34;180;2
105;130;0;540;2
120;236;0;240;1
74;68;67;180;1
127;168;0;120;0
104;170;25;240;2
101;165;0;300;1
84;166;0;360;2
72;61;0;960;10
73;50;18;1020;9
85;114;8;780;7
124;100;0;60;0
110;105;7;780;4
83;255;34;180;2
65;76;0;780;9
98;35;0;1680;10
59;102;0;480;4
76;55;35;1200;13
126;255;0;120;0
122;82;0;240;1
113;140;0;600;3
94;126;56;540;7
68;255;0;120;0
103;255;34;360;3
109;56;0;600;3
104;255;0;120;1
97;186;40;300;3
113;173;25;240;2
88;72;0;1140;8
114;132;13;480;3
108;147;0;600;3
80;183;0;360;2
90;122;12;540;4
119;255;0;60;0
95;234;100;60;1
105;129;0;120;0
109;119;8;780;5
116;80;0;120;0
86;255;15;420;4
83;255;0;60;0
92;155;12;540;5
95;160;0;480;3
81;177;0;420;2
107;61;0;1200;7
97;56;0;1560;10
113;252;25;480;4
87;57;6;1200;9
104;123;50;720;9
116;255;0;360;2
91;169;75;480;5
125;255;0;60;0
96;255;100;60;0
106;255;0;300;2
83;176;0;420;3
140;255;0;60;0
97;115;17;360;3
96;255;0;60;0
96;137;8;780;6
107;247;0;480;3
115;142;0;180;0
100;134;9;660;4
144;255;0;60;0
128;180;0;480;2
97;126;50;360;4
131;255;0;120;1
113;255;28;420;3
96;85;47;900;10
114;92;0;720;4
105;255;0;60;0
98;176;67;360;5
130;255;0;60;0
108;255;0;60;0
174;255;0;120;1
148;255;0;420;3
141;255;0;120;1
110;227;34;540;5
110;255;0;360;2
103;186;40;300;4
122;255;0;60;1
70;38;4;1380;9
107;105;14;900;6
59;38;0;660;5
98;82;0;600;3
58;37;4;1500;13
109;63;12;540;3
142;74;0;120;0
138;255;0;60;0
57;255;0;60;1
135;255;0;120;1
107;238;50;360;5
78;125;0;600;5
123;131;12;540;5
68;34;0;300;2
101;255;50;240;3
55;136;0;300;3
34;58;50;240;5
113;164;0;660;4
107;20;0;120;1
44;145;0;300;4
79;121;0;600;4
112;125;0;840;5
95;79;0;120;0
111;255;0;120;0
37;58;0;600;10
117;255;0;120;1
99;157;0;840;6
120;157;0;300;1
98;175;60;360;4
107;255;0;60;0
81;72;0;1140;9
86;70;0;1200;9
82;41;4;1920;10
74;57;0;840;6
97;255;0;180;1
33;119;0;240;9
96;72;0;480;3
98;110;0;180;1
98;186;60;360;4
114;220;0;240;1
51;32;0;780;7
107;92;17;1080;7
121;102;0;1200;5
138;131;0;720;3
104;191;29;420;3
49;255;0;60;0
90;120;0;300;2
103;207;12;540;5
129;255;0;180;1
129;159;0;540;2
137;160;0;240;0
114;162;25;480;3
92;255;100;180;2
84;55;24;780;7
115;49;5;1380;7
93;47;0;1560;9
59;27;19;660;9
44;15;67;180;5
98;96;0;360;2
48;36;0;1620;22
125;131;0;360;1
119;209;0;180;1
106;180;13;480;3
115;255;0;120;0
108;147;0;300;1
106;255;34;180;1
99;152;64;660;9
105;255;0;60;0
86;185;34;420;4
102;133;12;540;3
121;211;0;300;1
100;133;12;540;3
72;36;44;1500;22
105;184;15;420;3
109;135;20;600;5
121;137;0;540;2
117;31;34;180;1
108;131;23;540;5
120;137;0;420;2
120;255;0;180;0
108;80;29;420;3
112;151;20;600;5
110;41;34;240;2
96;75;80;300;4
127;104;0;120;0
103;59;0;600;3
74;255;0;60;0
46;15;0;180;2
105;158;38;540;5
124;235;0;180;0
71;59;7;900;8
57;66;0;600;6
74;97;0;600;5
96;83;0;960;6
98;255;67;360;5
142;255;0;60;0
121;145;0;480;2
101;88;0;900;5
78;97;67;480;9
91;94;0;540;4
91;56;5;1620;8
93;90;34;960;9
82;255;0;60;0
81;137;10;600;5
105;183;34;360;2
99;255;0;120;0
58;96;12;480;6
81;235;0;300;2
118;73;0;1320;7
76;159;25;480;7
102;227;0;180;1
121;255;0;120;1
82;174;25;480;5
102;255;40;300;4
93;237;0;60;0
130;122;0;180;1
141;255;0;60;0
157;66;50;120;0
129;219;0;240;1
58;217;0;240;2
52;221;0;240;2
110;91;11;1080;9
88;112;50;720;10
104;63;27;1140;9
91;97;24;780;7
38;124;34;180;4
105;95;11;540;4
81;99;30;780;10
128;206;0;240;1
119;134;0;720;3
102;105;0;540;3
94;140;0;480;2
90;138;20;300;3
48;133;0;300;3
115;77;0;1260;7
112;255;0;240;1
72;208;0;420;3
83;151;0;600;4
144;255;0;180;1
118;216;12;540;3
148;255;0;120;1
74;255;50;120;2
100;255;67;360;5
118;255;0;180;1
79;214;0;360;4
100;36;17;720;6
148;255;0;180;0
128;139;16;780;5
79;94;0;720;5
64;134;0;420;5
70;40;0;1680;15
60;125;0;120;1
42;18;0;240;3
89;146;0;600;4
112;237;0;480;3
131;255;0;120;0
90;255;100;240;4
104;84;0;1200;8
87;137;0;600;7
105;197;20;300;1
82;71;18;960;8
73;90;0;780;7
95;255;0;120;0
113;255;17;360;3
98;46;0;960;4
92;127;84;720;12
104;197;60;300;2
79;255;67;180;3
165;255;0;120;4
134;192;0;420;6
70;65;0;600;5
78;48;0;840;6
90;47;0;1260;8
45;63;0;600;13
78;45;27;1080;12
111;94;16;360;2
97;46;0;840;5
115;128;0;600;3
85;40;8;1500;16
85;105;82;660;12
83;97;23;540;5
115;60;0;420;2
108;66;13;960;7
90;82;67;900;12
125;162;0;300;1
106;100;8;780;5
103;52;34;720;6
114;67;17;360;2
52;32;6;1080;14
127;128;0;960;4
102;90;29;840;7
48;44;29;900;13
100;98;0;840;5
91;73;42;1020;11
80;55;5;1200;10
97;59;15;1320;9
108;91;0;1080;6
100;137;60;600;7
128;48;15;420;2
109;77;25;480;3
75;45;5;1380;10
95;85;0;180;0
72;66;6;1080;7
111;225;0;480;3
90;57;0;1440;7
119;255;0;60;0
116;162;12;540;3
66;55;0;960;8
103;49;0;1200;6
85;63;0;840;6
73;54;5;1260;10
85;43;5;1440;9
80;59;0;1080;8
87;66;0;540;3
82;255;0;60;1
96;73;26;900;8
106;45;0;660;3
108;67;19;660;5
110;226;0;240;1
105;194;0;360;2
133;255;0;120;0
84;58;6;1140;8
102;154;0;480;2
124;215;0;420;2
133;255;0;60;0
108;254;25;240;2
56;69;0;240;3
68;255;50;240;3
118;65;0;180;0
103;175;0;240;1
126;138;0;300;1
109;62;34;180;2
85;136;25;240;1
110;126;16;720;6
68;208;0;300;2
61;181;0;120;1
118;130;0;780;4
82;95;0;900;7
140;255;0;240;1
103;255;50;240;3
121;255;0;60;0
92;158;0;780;5
107;210;0;120;0
95;199;67;180;1
135;134;0;120;0
114;165;20;660;4
116;53;20;600;3
98;255;50;120;1
128;58;0;180;0
106;149;25;480;4
65;179;20;300;3
122;255;0;60;0
78;52;0;120;0
102;171;0;300;1
123;117;0;660;3
134;111;37;840;4
127;217;34;180;1
87;126;34;720;6
108;171;43;480;4
107;77;0;1080;5
119;255;0;120;0
62;255;0;60;0
87;101;0;720;4
113;255;40;300;3
101;250;50;360;5
95;53;5;1440;9
69;39;5;1440;12
76;49;0;1380;10
90;40;0;1620;11
58;255;0;120;1
112;48;15;420;2
92;48;22;840;7
60;117;0;300;2
103;159;60;300;4
127;255;0;60;0
111;255;20;300;2
139;255;0;120;0
118;255;0;60;0
129;255;0;120;2
101;211;25;240;2
119;255;0;60;0
79;71;0;1080;7
67;26;10;1800;16
68;56;9;720;7
118;24;0;180;0
113;89;22;540;3
98;50;0;1680;10
106;78;0;1140;6
77;140;0;120;0
70;89;0;600;4
85;116;20;660;6
85;36;0;840;4
120;255;0;60;0
126;255;0;60;0
110;43;0;120;0
79;154;0;240;1
103;173;0;300;1
60;38;5;1500;12
65;101;20;300;3
137;255;0;120;0
75;37;0;1500;10
93;107;29;420;4
107;193;0;300;1
113;31;0;120;0
100;117;0;660;4
101;100;50;360;3
91;140;28;660;7
101;183;20;300;2
110;255;0;180;2
92;59;25;720;7
81;90;0;900;8
69;68;20;300;4
106;225;0;420;2
79;132;12;540;4
97;74;0;1260;9
111;73;0;1440;9
91;91;0;1020;7
96;52;7;1740;12
117;115;14;420;2
106;103;6;960;5
89;75;8;1440;13
99;255;0;420;3
108;255;0;240;2
123;136;0;300;1
98;198;40;360;3
84;88;4;1260;13
78;187;20;300;3
78;113;34;180;2
117;68;0;240;0
89;119;13;480;3
75;78;24;780;7
96;88;47;780;9
115;92;9;720;4
133;255;0;60;0
88;132;40;600;7
114;109;13;960;5
115;174;0;360;2
126;197;0;360;1
118;255;0;420;2
105;109;0;840;8
97;105;59;720;8
98;75;0;1080;6
109;105;17;720;5
113;158;0;240;1
127;154;0;360;1
127;68;0;180;0
109;255;0;180;1
87;92;60;900;11
95;76;11;1140;8
106;144;0;660;7
71;255;0;300;3
103;255;50;240;3
114;166;0;600;5
85;73;9;1260;10
47;41;0;420;2
74;72;9;1320;15
33;38;0;480;6
28;26;0;480;8
101;78;17;360;2
79;59;34;180;1
109;255;0;180;1
117;86;0;120;0
106;255;0;360;4
97;255;34;180;1
102;255;50;240;3
108;156;0;120;0
41;83;0;480;7
48;166;0;240;3
108;59;50;120;1
103;55;34;540;4
53;20;0;120;1
28;27;0;840;28
65;63;0;600;3
85;34;0;1920;14
113;81;0;960;9
72;31;0;1740;15
81;144;0;420;8
131;229;0;60;0
106;82;0;660;6
104;255;0;300;2
118;84;0;1020;9
133;164;0;480;4
93;228;15;420;3
114;255;25;240;2
116;114;0;600;2
94;116;8;780;5
99;67;0;1320;7
84;98;47;900;11
103;255;0;60;0
106;255;50;120;1
109;69;0;660;3
92;61;23;1320;12
116;111;23;540;4
112;151;0;660;3
123;255;50;120;0
41;255;0;60;0
41;67;37;480;7
94;220;0;300;2
114;162;29;420;3
36;147;34;180;4
128;172;0;300;1
129;255;0;60;0
120;226;0;540;2
117;204;0;360;2
103;167;43;420;4
113;181;10;660;5
115;255;0;120;0
107;143;13;480;3
111;255;34;180;2
103;255;0;180;1
61;255;0;180;2
81;200;29;420;5
98;102;0;900;6
109;50;0;2160;9
91;63;43;1200;10
96;72;55;660;7
42;48;10;660;10
43;33;17;360;6
120;255;0;60;0
96;193;34;180;1
71;34;6;900;7
79;41;17;1380;13
99;43;0;1200;7
103;255;50;120;1
127;255;0;60;0
115;177;43;420;4
118;255;0;120;0
114;176;16;360;1
108;129;0;780;3
101;71;50;480;5
66;44;0;60;0
100;170;17;360;3
125;244;0;180;0
89;123;38;780;10
100;172;12;480;3
108;255;0;240;1
98;180;60;600;8
129;255;0;120;1
123;255;0;60;0
143;255;0;60;0
125;143;0;60;0
111;196;75;240;2
113;122;0;540;3
90;73;6;1020;7
94;56;5;1440;10
59;255;66;180;4
126;183;0;420;2
102;111;50;600;7
113;39;10;600;4
121;85;0;300;1
81;39;0;1980;13
103;77;0;1320;7
75;98;0;780;6
112;255;0;60;0
81;59;15;1260;13
101;93;9;660;4
105;118;10;600;4
123;151;20;720;4
120;166;11;540;3
110;146;0;480;2
125;255;0;60;0
125;95;0;180;0
98;188;40;300;2
95;159;0;480;3
129;255;0;180;1
102;255;40;300;3
119;115;0;540;2
108;255;25;240;2
108;77;0;1200;7
137;255;0;60;0
86;147;0;480;2
104;105;25;1080;6
145;255;0;120;0
130;255;0;120;1
112;185;13;480;3
96;255;0;60;0
88;148;34;180;2
111;92;0;540;2
90;76;0;1080;8
106;117;0;480;2
104;255;20;300;3
76;78;8;840;7
110;135;10;600;3
65;82;0;660;6
135;255;0;60;0
131;114;0;300;1
113;107;17;360;2
87;125;0;420;3
90;164;0;480;7
120;132;0;420;1
126;255;0;300;1
109;168;45;600;4
73;111;0;9;4
94;96;64;720;9
82;136;0;540;6
116;82;0;660;3
49;92;0;120;1
121;135;0;240;0
106;92;11;540;3
100;171;34;180;1
99;255;0;60;0
123;255;0;240;1
108;116;13;480;2
92;214;25;480;5
99;255;20;300;2
96;255;0;60;0
79;71;38;960;10
189;255;100;60;1
96;87;9;780;5
111;179;0;180;0
105;143;28;660;5
85;71;34;1080;11
138;255;0;180;1
32;75;0;480;10
105;172;33;540;5
86;70;20;1260;11
121;91;0;240;1
89;148;0;600;4
109;255;0;60;0
108;192;25;240;3
105;190;20;300;3
116;79;0;1320;9
134;75;0;1680;11
114;255;0;240;1
102;191;0;480;2
92;155;45;540;5
127;255;0;60;0
40;106;17;360;9
95;197;75;240;3
80;25;0;2280;18
77;43;14;1380;13
116;255;34;360;4
105;88;0;480;2
93;137;0;540;3
29;39;0;360;8
37;47;8;780;13
105;255;0;60;0
86;200;20;300;2
95;118;50;600;7
103;171;34;180;1
110;194;0;240;1
93;160;43;420;6
74;123;0;540;4
77;255;0;120;0
95;123;59;720;9
107;121;16;780;7
115;133;0;540;4
100;125;59;720;10
94;52;0;480;3
73;53;29;1020;10
83;47;5;1140;8
100;92;20;300;2
127;255;100;480;7
98;148;63;480;8
85;255;100;60;93
86;99;0;240;1
94;100;22;840;7
107;255;0;60;0
81;78;16;780;6
66;244;50;120;1
121;255;0;240;1
109;173;0;360;3
62;109;0;420;4
111;255;0;60;0
133;114;0;660;4
123;255;0;120;0
115;175;0;720;4
100;255;0;600;2
117;255;0;600;2
87;87;12;1080;9
110;121;0;480;2
136;235;0;60;0
56;255;0;60;1
15;77;25;240;17
110;71;0;780;3
118;70;0;180;0
95;52;36;1140;11
88;110;17;720;6
138;255;0;300;2
52;191;0;240;3
85;56;24;1260;12
98;36;7;1920;13
117;131;0;540;2
101;147;10;660;4
103;145;0;780;6
124;104;0;900;4
100;129;28;660;5
140;255;0;120;0
117;217;34;360;3
83;151;0;540;6
51;60;0;540;5
51;48;0;720;7
128;255;0;180;1
104;31;0;300;1
99;226;63;480;8
99;119;0;960;6
117;255;0;120;1
74;180;100;180;1
115;255;0;300;2
82;93;0;360;3
73;70;0;1020;8
82;182;0;180;1
90;92;7;960;7
76;85;10;600;7
90;136;0;240;1
103;240;0;360;2
96;79;0;540;2
97;116;0;660;3
80;57;20;1080;11
105;86;7;900;5
78;102;0;780;5
95;89;14;900;7
54;37;0;120;1
97;171;0;480;2
56;48;0;120;1
115;126;22;840;6
147;255;0;60;0
104;125;0;540;6
52;129;0;360;4
85;192;0;480;8
102;255;0;60;0
94;67;12;540;4
120;56;0;720;3
95;133;58;420;5
101;49;8;1620;11
115;41;0;1860;10
95;86;20;900;7
124;255;0;60;0
106;187;38;480;6
74;255;0;60;0
113;255;0;60;0
96;255;0;120;2
97;121;20;660;6
119;120;13;480;3
125;130;0;120;0
103;49;0;1620;9
103;112;0;660;3
82;51;5;1320;10
100;78;0;1080;5
42;192;0;60;1
84;54;0;1380;8
71;63;0;840;5
137;137;0;480;2
119;94;0;1080;5
112;150;19;660;5
96;196;34;180;2
87;146;50;480;6
96;212;0;480;4
103;255;0;60;0
111;255;0;120;0
108;91;6;900;5
122;158;0;240;1
82;39;57;1020;16
91;75;71;1140;15
120;182;0;480;2
101;49;4;1680;8
100;70;17;1080;9
90;36;46;1440;16
116;195;0;180;0
82;100;0;720;5
118;123;0;420;2
96;70;27;1140;11
104;143;12;480;3
116;139;0;180;0
103;147;72;420;5
94;138;0;360;2
83;37;21;1740;16
147;255;0;60;2
130;137;10;600;10
72;39;0;1560;8
135;73;0;720;5
95;112;35;840;7
115;148;0;660;4
121;255;0;120;0
99;188;13;480;3
116;101;0;840;4
23;131;50;120;5
77;80;17;360;3
102;65;20;300;2
81;84;16;900;7
121;218;0;420;2
107;202;13;480;3
97;79;0;960;6
98;42;17;360;2
103;127;0;780;5
89;255;60;300;4
91;65;5;1320;9
104;175;10;600;5
82;86;7;960;8
130;255;0;60;0
102;255;34;360;4
121;255;0;60;0
125;255;0;120;5
67;135;0;420;5
76;187;0;240;2
60;78;10;600;6
111;224;13;480;4
90;255;0;180;1
88;115;50;600;8
85;158;20;300;3
95;190;0;120;0
82;60;22;540;4
119;111;0;360;1
93;112;89;540;9
95;83;50;960;12
95;72;6;900;6
115;108;0;720;3
88;49;12;480;3
125;192;0;360;1
41;40;0;480;6
113;155;0;480;2
94;129;54;660;9
62;59;0;1080;13
71;87;0;900;8
120;255;0;120;0
70;255;100;60;1
108;55;15;1620;11
122;72;0;1140;6
94;51;50;1320;16
80;127;0;540;4
95;255;0;120;0
112;255;0;60;0
112;74;20;900;5
131;84;0;540;2
106;71;28;660;6
106;222;0;60;0
75;178;0;360;2
44;220;0;180;2
125;255;0;60;0
101;48;0;1140;6
105;255;34;360;4
87;51;0;1560;11
78;51;9;780;6
29;113;0;300;4
127;150;0;180;0
101;147;17;360;3
107;116;0;480;2
88;72;30;660;6
79;135;34;360;4
97;121;60;600;8
113;118;17;360;2
96;221;0;300;2
120;133;0;180;0
109;234;0;480;3
114;112;15;840;6
88;255;0;60;0
103;62;19;840;10
110;69;7;960;5
117;30;0;540;2
84;112;0;540;4
114;82;0;1020;4
108;78;15;960;6
93;90;16;780;6
83;255;0;60;0
120;255;0;240;1
84;253;50;360;5
118;255;0;120;0
101;176;34;360;3
89;255;100;60;1
96;255;66;360;5
89;65;50;1080;14
106;100;9;720;5
131;255;0;120;0
111;72;0;1320;6
131;151;17;540;2
90;211;40;300;3
91;163;15;420;2
120;164;0;420;1
102;255;0;60;0
100;116;0;780;6
103;225;0;600;4
118;167;0;300;1
43;114;0;480;7
99;107;34;720;7
69;34;0;1560;12
60;48;32;1080;14
104;255;0;60;0
82;58;0;1200;8
121;255;0;720;2
86;88;43;840;12
88;101;0;540;3
71;79;16;780;7
133;255;0;60;0
97;194;20;300;3
112;60;42;420;4
106;71;20;600;5
123;21;0;180;0
115;255;0;840;3
100;71;5;1380;9
139;255;0;1260;4
116;188;0;360;2
87;255;0;720;0
94;140;10;660;4
115;255;0;120;1
106;167;45;540;5
126;232;0;240;0
89;62;25;240;2
95;111;50;780;11
116;83;0;960;7
100;105;42;720;8
116;157;0;420;2
137;140;0;180;4
120;109;8;840;7
93;255;100;120;2
120;255;0;240;1
87;79;0;960;7
75;175;0;180;1
70;181;100;240;6
82;160;40;300;4
45;159;0;120;1
101;176;0;240;1
99;120;7;780;5
97;189;0;540;5
113;138;0;780;8
90;102;79;840;13
106;123;47;780;8
69;222;67;180;4
92;255;0;120;0
97;64;0;120;0
88;255;25;240;2
98;109;13;480;3
108;202;0;180;1
127;255;0;120;0
102;85;8;840;5
97;80;0;1020;6
84;55;0;960;5
93;173;17;360;3
95;115;15;840;7
105;100;0;840;5
123;118;0;240;1
109;162;19;660;4
38;218;50;120;2
87;119;56;540;8
92;124;84;720;11
117;255;0;120;1
106;255;17;360;3
105;61;6;1080;7
90;46;55;1440;18
119;120;0;600;2
115;255;0;240;1
107;104;12;1020;7
88;131;15;480;3
128;255;0;180;1
145;255;0;120;0
135;118;10;660;5
94;90;34;900;7
62;132;0;480;4
68;33;11;1020;8
80;66;0;780;5
90;87;22;840;7
112;255;0;120;0
99;255;34;180;2
94;255;0;60;0
89;255;100;120;2
108;125;40;600;6
129;255;0;60;0
138;255;0;120;0
115;160;0;360;2
71;255;0;120;100
130;255;0;60;0
109;183;0;300;1
115;64;20;660;5
98;116;0;240;1
85;119;0;720;5
44;65;0;300;4
71;255;0;180;3
114;201;0;180;0
100;125;45;600;5
86;177;15;420;3
88;84;22;900;11
98;186;0;360;2
123;130;0;300;1
137;175;0;240;1
100;149;63;480;5
118;160;10;660;4
53;89;0;240;2
104;102;18;660;6
109;160;29;420;4
120;201;0;180;1
87;103;0;600;4
89;163;28;420;3
79;191;0;420;4
120;40;0;120;0
117;58;25;480;4
91;255;34;180;2
117;255;0;60;0
104;140;0;360;2
97;153;0;180;1
123;255;0;60;0
88;99;0;360;2
88;89;34;780;8
116;150;0;240;1
97;119;0;300;2
48;57;20;300;5
101;116;0;660;4
93;64;20;1260;10
71;128;0;420;3
123;158;0;120;0
116;207;15;420;3
93;162;58;420;4
134;255;0;60;0
75;47;0;360;3
109;217;0;300;1
101;59;7;1440;6
15;14;7;900;55
106;179;34;180;1
118;255;0;60;0
52;79;0;480;5
118;22;0;360;1
95;95;25;240;2
106;55;28;660;6
105;255;17;360;3
138;255;0;60;0
116;115;0;420;2
87;74;0;1080;5
119;157;0;540;2
115;255;0;180;0
90;124;62;480;6
105;99;0;960;4
143;255;0;60;0
102;82;38;480;4
119;255;0;120;0
114;201;34;180;1
123;91;0;840;4
110;74;5;1320;8
90;42;4;1740;11
103;24;0;480;2
83;41;0;1860;13
112;119;16;360;2
107;255;0;300;2
71;103;0;420;4
111;178;0;240;1
89;87;0;1020;8
96;144;23;540;5
112;185;0;180;1
104;79;0;420;2
117;63;25;240;1
95;134;78;540;10
106;93;10;600;4
90;81;79;840;13
81;100;25;780;7
91;108;0;180;1
62;59;43;420;5
92;81;0;1140;9
90;165;0;540;5
103;173;17;360;2
124;220;0;240;1
98;81;75;240;3
71;83;0;840;8
83;117;0;660;5
94;107;0;840;6
109;255;0;420;2
132;184;0;540;2
110;51;22;1080;6
120;111;0;240;1
108;90;30;1020;9
96;63;23;1020;8
104;255;0;1620;8
44;133;25;240;4
105;32;0;240;1
77;49;12;1080;10
92;50;0;1500;10
74;55;17;1080;10
128;91;0;180;0
108;65;23;540;4
58;105;25;480;6
113;189;25;240;2
141;151;50;660;4
88;87;0;960;7
111;121;0;780;7
89;90;15;420;3
88;255;0;240;0
81;150;0;660;3
107;154;0;720;9
102;179;0;300;2
90;255;0;60;0
116;166;15;420;2
138;255;0;60;0
109;255;0;960;5
106;198;0;720;3
127;255;0;1680;7
105;61;5;1080;6
142;255;0;840;4
84;67;4;1260;8
94;73;48;1020;12
99;140;0;480;3
92;120;23;540;4
101;255;0;60;0
83;124;27;660;6
91;174;14;420;2
81;81;0;480;3
105;150;23;660;5
119;138;20;300;2
71;89;7;840;8
67;56;10;600;4
80;72;14;1260;12
87;33;43;420;4
118;116;0;180;0
112;98;23;540;4
119;40;50;180;2
109;156;0;660;6
129;255;0;300;2
49;104;0;360;4
43;255;0;60;0
48;78;0;420;5
123;87;0;420;2
33;255;0;60;1
101;152;50;480;6
50;72;50;120;1
114;255;0;240;1
98;255;67;180;3
104;149;28;660;7
117;255;0;60;0
102;175;38;480;6
128;255;0;180;0
109;142;13;480;4
94;95;14;900;8
68;75;15;840;10
39;35;20;600;11
68;39;10;1440;12
99;68;28;420;4
57;23;8;840;8
91;57;0;1080;6
85;56;0;1080;7
76;36;7;1800;16
70;35;14;1320;15
83;255;0;180;1
80;49;0;1560;10
93;117;7;780;6
104;125;10;600;4
93;255;33;180;2
83;112;0;720;5
96;36;0;1080;5
81;40;3;1680;12
82;46;0;1140;6
66;79;17;360;4
62;163;0;240;2
142;241;0;660;4
121;109;0;1140;10
107;255;0;180;1
62;255;0;60;1
111;183;0;600;4
122;255;0;60;0
102;131;55;660;8
125;242;0;360;1
41;64;0;240;3
69;216;0;240;2
96;116;19;660;5
112;185;0;180;0
64;40;6;1020;10
125;255;0;360;2
78;51;0;240;1
82;116;0;840;5
92;38;0;240;1
87;78;12;1080;8
117;52;12;480;2
98;55;46;780;8
114;137;0;480;2
107;76;0;1140;6
96;255;0;60;0
106;166;40;300;2
90;255;40;300;3
128;255;0;60;0
130;112;34;900;9
152;183;0;480;4
62;163;0;180;1
121;239;0;180;0
88;204;67;360;5
96;151;75;240;3
92;255;0;180;0
134;251;0;300;1
106;97;14;900;6
119;189;0;300;1
124;216;0;240;2
80;255;0;60;0
111;255;0;120;1
116;160;0;120;0
104;193;34;540;4
113;145;8;720;3
120;255;0;60;1
101;90;27;1080;11
95;255;0;120;2
72;80;0;600;4
92;255;0;60;0
93;174;100;540;7
122;255;0;60;0
115;255;0;180;1
69;167;0;180;2
41;63;0;480;6
107;125;20;300;2
110;227;0;120;0
80;172;0;120;1
121;166;0;360;1
100;79;8;780;5
100;123;28;660;6
127;110;0;120;0
107;163;50;120;2
93;97;13;900;6
79;100;8;720;10
72;54;15;1140;12
137;255;0;120;0
115;146;25;720;4
108;101;0;960;5
124;125;0;240;1
88;47;18;1440;11
122;255;29;420;4
92;52;0;1560;10
78;47;20;1380;13
119;109;8;840;4
105;143;50;480;5
103;255;0;120;0
106;175;38;540;4
98;70;16;780;4
128;177;0;780;5
89;163;0;600;4
112;255;0;300;2
129;238;0;60;0
103;122;0;840;5
158;255;0;120;0
142;117;0;360;1
101;66;50;600;6
135;142;0;960;1
123;104;0;660;3
98;114;62;780;11
123;205;0;240;1
119;129;25;720;6
96;88;25;480;3
105;145;0;180;1
115;136;50;120;0
98;121;23;780;6
108;200;10;600;4
98;131;9;720;5
88;255;50;120;1
109;255;0;180;1
115;140;0;360;1
94;161;58;420;5
117;102;0;120;0
102;110;13;960;6
108;165;13;480;3
134;255;0;120;0
113;150;0;120;0
124;255;0;120;0
95;124;63;480;5
109;255;0;60;0
111;230;25;240;2
70;51;5;1260;10
106;255;0;60;0
89;74;6;1140;7
84;161;34;180;2
85;255;100;60;1
97;255;0;240;1
110;126;20;600;4
142;255;0;60;0
79;71;7;840;7
117;58;20;300;1
133;121;0;540;2
109;88;0;1140;7
92;56;27;1380;14
102;48;34;540;5
122;13;0;120;0
100;114;0;900;6
87;106;0;900;7
88;255;0;60;0
65;255;0;120;0
64;162;20;300;4
85;77;0;240;1
79;119;0;660;5
93;200;0;360;2
113;127;12;540;3
94;83;6;1080;7
101;255;0;240;2
104;77;20;300;2
102;255;0;60;0
96;75;0;240;1
91;79;40;900;8
111;114;0;600;3
97;255;100;120;1
40;155;0;180;2
90;111;16;780;7
104;190;0;300;1
66;255;0;60;1
127;198;0;360;1
102;113;33;720;6
107;94;20;600;4
62;61;0;660;6
120;255;0;120;0
76;57;0;840;6
66;61;0;240;2
74;255;0;60;1
111;102;19;780;5
120;105;0;180;1
117;140;20;600;4
124;157;0;360;1
95;126;45;540;7
50;32;0;1080;12
53;49;7;840;8
105;255;50;120;2
111;73;0;960;5
93;114;5;1020;7
91;117;12;600;4
113;137;0;660;3
110;113;24;780;7
124;150;0;420;2
100;114;0;600;3
82;76;39;780;8
134;181;0;360;1
94;127;47;780;9
116;85;17;360;2
88;36;0;2220;17
74;36;0;1680;16
66;35;0;1740;18
100;119;37;660;6
97;108;40;600;7
120;255;0;60;0
93;64;0;1260;7
110;85;0;1020;5
134;255;0;120;0
67;52;0;1140;9
130;174;20;300;1
73;107;43;480;6
95;45;0;540;3
107;255;50;360;5
103;92;0;120;0
94;176;67;360;5
120;157;0;540;3
103;147;0;120;0
51;35;0;360;4
112;18;15;420;2
113;255;40;300;4
122;255;0;180;1
101;255;0;660;3
59;35;0;420;4
83;139;50;120;2
114;106;0;840;6
114;68;25;240;2
126;183;0;240;1
125;255;0;60;0
102;255;34;180;2
103;255;0;180;1
124;255;0;120;1
99;95;23;540;4
105;24;0;240;1
101;97;0;480;4
87;80;12;540;4
101;196;50;240;2
82;216;50;240;4
98;63;0;1440;10
87;92;0;1020;7
116;200;0;240;1
96;150;10;600;4
81;56;6;1200;8
126;121;0;660;3
79;108;28;720;7
106;89;6;1080;6
94;75;0;1080;7
82;83;0;540;3
127;255;0;120;1
95;200;63;480;7
107;255;0;240;1
92;241;50;360;4
115;255;25;240;2
128;113;0;600;2
114;255;0;120;0
