averageVehicleSpeed;averageDistanceHeadway;percentageLongVehicles;vehicleFlow;occupancy
58;133;34;360;7
111;255;33;180;2
113;255;0;60;0
109;194;0;420;2
127;179;0;120;0
124;255;20;300;2
147;255;0;300;1
130;58;0;240;1
73;255;0;120;1
117;68;23;540;4
104;72;0;720;4
92;58;12;540;4
122;239;0;120;0
108;45;0;540;3
123;255;0;60;0
119;255;0;240;1
80;50;34;1440;20
96;58;8;1560;19
115;255;0;300;2
119;255;0;60;0
65;255;0;180;2
44;33;20;300;4
91;76;7;1020;7
99;65;5;1260;8
119;105;0;840;4
97;12;0;300;1
103;156;29;420;4
132;191;0;240;1
115;130;10;600;4
123;255;0;360;2
114;139;0;900;5
87;99;60;600;9
106;117;0;300;1
89;100;0;720;4
101;51;20;900;7
134;255;0;60;0
98;188;13;480;4
89;107;0;600;3
93;255;15;420;4
120;232;0;300;2
110;121;0;840;5
98;47;0;1260;8
98;47;0;1260;8
93;59;17;720;5
126;74;0;60;0
114;129;8;720;4
93;74;7;900;7
108;80;15;420;2
138;255;0;60;0
53;36;20;1200;15
41;167;0;480;7
90;255;50;240;3
111;255;0;180;1
85;255;0;60;0
90;143;23;540;6
95;194;0;180;1
120;255;0;120;1
98;76;28;1080;10
113;63;0;1560;7
100;64;10;1320;9
127;154;10;660;3
106;255;43;420;5
109;55;11;1680;13
131;117;0;480;2
79;110;50;720;7
73;33;3;1740;13
59;58;19;660;7
73;37;0;540;4
109;43;10;1860;16
93;39;12;960;6
92;38;14;1800;16
79;37;10;1680;15
110;255;20;300;2
68;45;0;360;3
142;255;0;120;1
90;75;18;1020;9
104;116;0;780;5
109;68;0;720;3
68;63;31;780;11
83;199;0;240;1
40;153;0;120;1
115;135;0;720;4
141;255;0;120;1
86;83;60;900;12
112;44;0;480;2
103;99;7;960;6
93;66;46;780;8
111;175;25;240;2
136;223;0;420;1
102;127;33;720;6
92;172;67;180;2
98;255;100;180;100
95;126;50;840;11
115;255;0;360;2
90;239;67;180;2
120;255;0;120;0
109;72;0;1260;7
89;93;0;900;6
94;43;7;1860;13
81;72;11;1020;8
90;67;10;1200;9
96;255;0;60;0
98;248;25;360;2
89;68;0;480;3
99;143;12;540;4
107;90;30;1020;9
118;173;0;360;2
105;195;34;360;3
89;60;22;840;7
104;50;25;480;3
90;60;24;780;6
119;144;38;480;4
137;255;0;180;0
85;55;27;1380;20
86;42;15;1620;19
123;37;0;240;1
99;38;10;600;4
115;182;0;360;2
115;255;0;120;0
126;244;0;300;1
108;157;0;300;1
34;147;0;120;1
76;160;0;360;2
69;59;0;840;7
59;65;23;600;7
120;180;0;360;1
106;85;0;1020;12
105;178;25;480;4
65;233;0;180;1
112;89;0;960;10
111;255;0;420;2
150;137;0;600;4
105;129;28;660;6
106;84;0;1200;16
114;195;25;240;1
67;131;0;180;2
146;205;100;600;4
135;255;100;120;1
73;204;0;300;2
50;154;25;360;5
114;197;0;120;0
93;144;38;480;4
116;57;8;840;4
109;49;5;1260;8
90;51;50;240;2
102;58;0;840;5
101;108;25;720;6
119;84;10;660;3
122;255;0;60;0
112;255;0;60;0
92;114;27;660;6
105;157;45;540;4
103;142;20;600;4
39;31;25;240;5
39;68;0;600;8
38;255;0;60;1
101;64;6;1140;7
112;67;0;600;4
48;69;20;300;5
67;255;100;60;2
113;255;0;120;1
167;61;90;600;2
146;64;50;720;6
114;190;0;300;1
89;165;80;300;4
141;255;0;60;0
123;255;0;180;0
107;180;43;420;4
101;150;42;720;9
97;255;0;60;0
110;170;25;240;2
104;46;7;1860;12
95;55;32;1320;14
78;70;7;960;7
91;134;23;540;5
100;87;0;960;5
121;145;0;420;2
119;197;0;240;1
104;119;0;720;4
117;171;0;120;0
82;67;0;300;2
88;255;66;180;2
63;42;0;540;5
103;122;10;600;4
74;255;0;60;0
112;133;10;660;4
96;48;38;480;5
113;99;0;120;0
97;28;0;360;2
103;255;0;120;0
131;218;100;360;4
177;255;0;180;0
112;255;0;120;1
116;165;19;660;6
90;255;0;120;0
75;83;9;780;6
110;223;0;180;1
100;119;30;600;5
87;96;25;720;8
98;183;0;300;1
100;161;38;480;4
116;111;0;360;1
107;219;40;300;2
100;172;40;300;2
121;210;0;120;0
133;255;0;120;0
114;112;0;1020;6
137;120;0;180;0
50;219;0;120;1
110;64;20;300;2
83;67;0;960;9
97;110;0;900;8
117;255;20;300;2
103;255;0;240;1
82;102;9;720;5
84;61;10;660;5
125;255;0;60;0
96;175;34;360;3
72;48;0;480;4
131;142;0;720;3
105;61;0;1320;7
101;92;22;900;7
86;56;35;1200;13
115;224;0;240;0
109;122;0;540;2
103;255;50;120;1
100;132;0;360;6
105;102;0;480;2
80;107;0;780;8
97;129;64;840;12
105;91;16;360;2
133;255;0;60;0
99;124;34;720;6
87;51;0;1500;12
122;222;25;240;2
89;255;34;180;2
116;255;0;60;0
117;255;0;60;0
75;53;0;1140;11
106;255;0;300;2
122;57;0;300;1
105;54;10;660;3
40;54;0;60;0
116;155;0;300;2
99;138;34;720;7
90;52;0;660;4
92;157;85;420;5
86;44;34;360;4
46;40;0;780;10
49;255;0;120;1
119;104;9;660;4
125;90;0;180;0
100;49;5;2040;10
125;144;0;600;2
86;64;10;1260;6
46;132;0;240;1
41;55;0;420;4
39;121;0;420;3
117;182;16;720;4
97;103;20;900;6
118;255;0;120;0
117;108;6;960;5
108;233;20;300;2
120;175;0;360;100
139;255;0;120;0
107;110;8;840;6
136;255;0;120;1
79;44;0;1560;12
85;43;5;1200;9
102;171;25;240;1
66;43;17;1020;12
77;49;6;1140;9
94;103;0;660;4
78;65;6;1080;9
123;255;0;60;0
98;90;24;780;6
71;246;0;240;2
113;93;0;1200;11
111;65;25;480;3
107;173;58;420;6
98;118;16;720;6
122;77;25;720;4
114;178;16;360;2
108;171;15;480;4
57;32;0;660;26
74;255;0;60;0
131;255;0;360;2
157;255;0;60;0
55;44;0;360;4
76;44;33;180;2
147;255;0;60;0
108;228;0;480;3
89;255;0;180;0
63;70;0;180;1
69;85;10;660;7
81;139;0;480;3
52;53;8;900;10
61;47;12;960;15
119;255;0;240;1
102;221;0;480;3
97;239;0;180;0
91;167;15;420;3
97;255;0;120;0
75;28;10;1200;10
106;255;0;180;1
116;255;17;360;3
91;89;24;780;7
107;90;5;1140;6
133;255;0;60;0
93;59;5;1200;8
76;65;7;960;9
84;108;13;480;4
94;110;67;780;10
104;241;0;180;1
85;208;34;360;4
99;255;0;60;0
77;149;50;120;1
78;161;0;240;1
90;139;0;300;2
96;65;16;720;4
92;90;10;1200;8
103;255;0;180;1
92;182;13;480;4
69;255;0;120;1
110;96;0;420;2
98;175;13;480;3
95;255;0;120;0
110;250;29;420;4
97;60;15;1260;9
61;255;0;60;1
87;43;15;780;5
